Sequencing depth,Fraction of target bases(%),Number of target bases
1397,0.030451,474
1398,0.031094,484
1399,0.033856,527
1400,0.032315,503
1401,0.030066,468
1402,0.032957,513
1403,0.030901,481
1404,0.030259,471
1405,0.032507,506
1406,0.030451,474
1407,0.031865,496
1408,0.031415,489
1409,0.028396,442
1410,0.033342,519
1411,0.030644,477
1412,0.032893,512
1413,0.034113,531
1414,0.031544,491
1415,0.031608,492
1416,0.029038,452
1417,0.030837,480
1418,0.031415,489
1419,0.031929,497
1420,0.032636,508
1421,0.032058,499
1422,0.032058,499
1423,0.031672,493
1424,0.032058,499
1425,0.032507,506
1426,0.031672,493
1427,0.032507,506
1428,0.032764,510
1429,0.032828,511
1430,0.030194,470
1431,0.032700,509
1432,0.034756,541
1433,0.032379,504
1434,0.030837,480
1435,0.030130,469
1436,0.033407,520
1437,0.033856,527
1438,0.032636,508
1439,0.030194,470
1440,0.035013,545
1441,0.032250,502
1442,0.032764,510
1443,0.031544,491
1444,0.032186,501
1445,0.031672,493
1446,0.032636,508
1447,0.032507,506
1448,0.030580,476
1449,0.033856,527
1450,0.032572,507
1451,0.033342,519
1452,0.035013,545
1453,0.033342,519
1454,0.031929,497
1455,0.032764,510
1456,0.032764,510
1457,0.033985,529
1458,0.034049,530
1459,0.034627,539
1460,0.033278,518
1461,0.033278,518
1462,0.036105,562
1463,0.032572,507
1464,0.036041,561
1465,0.030837,480
1466,0.031415,489
1467,0.032379,504
1468,0.035013,545
1469,0.035205,548
1470,0.033599,523
1471,0.033792,526
1472,0.035205,548
1473,0.033214,517
1474,0.032828,511
1475,0.034242,533
1476,0.033021,514
1477,0.032443,505
1478,0.033792,526
1479,0.036876,574
1480,0.031608,492
1481,0.035655,555
1482,0.035141,547
1483,0.036683,571
1484,0.033728,525
1485,0.034692,540
1486,0.032379,504
1487,0.035077,546
1488,0.032507,506
1489,0.033342,519
1490,0.034949,544
1491,0.033792,526
1492,0.037326,581
1493,0.033342,519
1494,0.032315,503
1495,0.035398,551
1496,0.033856,527
1497,0.034113,531
1498,0.034113,531
1499,0.035077,546
